Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,D66,GL,SGP,GPV,RPF,CD,SP,De Groenen,Vrouwenpartij,Bejaarden Centraal,VCN: partij van communisten in Nederland,Realisten Nederland,Socialistische Arbeiderspartij,Anti Werkloosheid Partij,Politieke Partij voor Ouderen,Vooruitstrevende Minderheden Partij,Partij Democratisch Socialisten,Socialistische Minderheden Partij,Humanistische Partij,Milieu Defensie Partij 2000+,Grote Alliance Partij,Staatkundige Federatie
11170,406,Huizen,24181,23,"0,10 %",29672,24204,"81,57 %",8602,4865,5302,2361,872,765,414,676,118,38,69,22,28,20,9,7,4,6,2,0,1,0,0,0,0
11408,677,Hulst,9932,51,"0,51 %",13205,9983,"75,60 %",4038,3577,1328,577,237,9,17,28,63,3,32,12,0,3,3,1,3,0,1,0,0,0,0,0,0
11235,256,Hummelo en Keppel,3063,9,"0,29 %",3476,3072,"88,38 %",1163,873,694,237,51,10,6,3,9,7,2,5,0,0,1,1,1,0,0,0,0,0,0,0,0
10784,925,Hunsel,3401,11,"0,32 %",4138,3412,"82,46 %",2169,685,270,149,79,1,1,0,21,9,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10858,195,IJsselham,3576,7,"0,20 %",3886,3583,"92,20 %",1557,1073,512,181,84,6,61,66,7,2,13,6,0,0,3,2,0,3,0,0,0,0,0,0,0
10641,191,IJsselmuiden,8045,20,"0,25 %",8889,8065,"90,73 %",3701,1035,448,207,83,1571,242,723,11,3,9,3,1,0,7,0,1,0,0,0,0,0,0,0,0
10152,353,IJsselstein,11873,30,"0,25 %",14541,11903,"81,86 %",4655,2928,2031,1253,396,322,57,79,76,18,23,11,10,4,2,3,0,0,0,1,1,3,0,0,0
10809,407,Ilpendam,2130,6,"0,28 %",2471,2136,"86,44 %",721,516,552,143,100,4,12,14,27,0,12,5,1,19,1,2,0,0,1,0,0,0,0,0,0
10481,408,Jisp,660,1,"0,15 %",766,661,"86,29 %",173,238,143,63,35,0,0,2,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
10253,166,Kampen,20711,48,"0,23 %",23891,20759,"86,89 %",7488,6087,1489,1105,937,1112,1001,1269,115,15,34,15,12,7,11,6,3,3,2,0,0,0,0,0,0
10372,20,Kantens,1117,2,"0,18 %",1291,1119,"86,68 %",246,474,132,42,50,6,134,10,2,2,4,5,0,3,6,1,0,0,0,0,0,0,0,0,0
11223,678,Kapelle,6469,25,"0,39 %",7633,6494,"85,08 %",2617,1512,908,444,140,530,101,121,62,1,19,9,0,1,4,0,0,0,0,0,0,0,0,0,0
